time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
377,0:06:17,0.00,0.62,0.62,0.00,0.0,nan,0
